Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
Kasum-Utak0,3013,5232,15030,223,4.19,21901,1.64,278,2473,1654,5779.97,2533763,0.61
nangonggeFPS,917,3002,18602,274,2.49,7484,0.45,160,3611,40038,4832.37,819492,0.51
LYB-ZuoYou,1453,1850,8347,322,7.62,14100,0.73,121,2436,6570,3432.03,1510013,0.44
Popeye-ae,2240,5835,10489,381,1.77,10347,0.45,270,1723,2621,2940.7,1329901,0.46
SanZhuKouFuYe,5577,8665,52742,402,5.71,49464,2.05,745,10857,2987,2938.49,5373155,0.69
Ane9_Nene,2208,1617,18662,164,4.71,7617,0.77,158,2627,3389,2721.1,953498,0.62
SnekyPenguen,5332,6763,9181,344,6.99,47264,2.29,573,3910,1041,2557.34,5409627,0.64
ThelastbrigadeSS,3716,5427,88881,363,4.99,27071,1.24,423,15522,5083,2525.16,3017529,0.81
Achilles991021,500,1268,6864,223,3.78,4792,0.36,145,1240,4962,2515.28,539670,0.55
ThelastbrigadeSS,3711,5395,88881,357,4.92,26517,1.24,422,15471,5007,2514.74,2960825,0.81
leshenrst,3206,11399,39647,473,1.88,21485,0.76,492,6613,3133,2419,2452064,0.54
CherrytreePath,2424,4299,18161,298,5.15,22153,1.24,223,3525,8754,2389.75,2451570,0.58
Gs_Pls174,2255,6987,15158,200,2.11,14752,1.23,322,3701,1371,2384.16,1677128,0.61
Like_Sabrina,7573,6939,13009,529,13.38,92820,2.92,1168,1970,1305,2355.74,10454449,0.58
9JIE,6908,12366,101956,605,3.25,40191,1.11,1275,19874,6370,2275.34,4569785,0.82
BKASZ,1988,9571,66452,519,1.08,10330,0.33,401,8015,3224,2146.53,1284535,0.47
ailzuilxiaoyan,3345,4245,2617,250,2.91,12333,0.82,164,1271,7786,2059.02,1396492,0.36
DoRightThing,8930,9416,32121,611,4.65,43794,1.19,889,7585,1694,1959.48,5199903,0.82
Chemroc0709,1187,5450,24337,129,0.6,3250,0.42,169,3296,1098,1938.98,451264,0.42
QQnaM2000,1874,7441,26715,611,0.7,5221,0.14,793,8846,2056,1884.04,752266,0.54
lm18455652964,3443,9831,79090,452,1.5,14771,0.54,435,11152,4693,1837.05,1797978,0.44
CountofRose,1724,4113,20446,288,2.62,10770,0.62,355,3118,3256,1803.4,1230953,0.58
AEWZN,7786,13513,127644,680,2.09,28305,0.69,859,15203,16288,1761.81,3214271,0.46
Ana_g0d_,7752,7510,102108,660,4.23,31802,0.8,921,22162,17897,1692.06,3821579,0.62
bin0604,608,2640,247,57,5.2,13721,3.98,211,416,53,1623.82,1402631,0.8
Dear_Father_666,5510,8194,32119,358,2.03,16609,0.77,356,12803,6860,1618.82,2041446,0.46
BLacKmOuse0825,1878,4720,19021,268,2.03,9559,0.59,335,2444,2756,1603.24,1175299,0.49
Wayne_McCull0ugh,2441,4749,9628,271,2.5,11851,0.73,367,2361,1234,1590.38,1423167,0.57
FalconDisappear,810,3490,13640,186,1.75,6094,0.54,259,3408,3075,1529.92,679888,0.54
BANDADEK,1304,2547,13052,133,3.26,8294,1.04,193,3965,1451,1512.47,954486,0.5
LoveSweeeeet,4825,5738,44038,404,5.01,28742,1.18,544,7222,11567,1471.79,3346383,0.69
Chitulol,3273,8578,80786,360,1.79,15329,0.71,435,10572,2576,1468.5,1923649,0.52
NeikoStream,4001,7133,22211,361,6.71,47869,2.21,444,4435,7198,1441.25,5201915,0.47
Mikehuntisvbald,3187,2770,3504,93,10.73,29712,5.32,237,1734,448,1402.71,3288821,0.88
AI-Irene-BP,5608,12478,84933,493,1.93,24094,0.81,805,23686,8034,1399.65,2949009,0.63
LJXDC,1500,4534,41610,160,1.42,6452,0.67,143,5466,2536,1391.28,804257,0.53
KENNYWPR,1557,3195,12479,144,2.84,9067,1.04,198,2262,2000,1383.08,1047879,0.6
wenbanyu,2251,7502,16617,216,1.15,8656,0.67,268,4095,2438,1377.86,1045102,0.47
DouYuTv4005022,1412,5097,45471,243,1.46,7425,0.51,584,2391,16111,1306.11,910846,0.65
CeloQAQ,11201,24638,101045,967,1.58,38940,0.67,1447,28633,7365,1305.67,5040773,0.47
cleavelove1,2188,6047,11031,206,2.07,12518,1.01,242,3653,617,1280.46,1520010,0.56
Parzival0815,10891,35842,366293,917,1.23,43958,0.8,1784,24333,13907,1270.86,5742689,0.51
ko7yoshl,12984,19629,71231,941,3.49,68459,1.21,1088,32425,9607,1259.72,8128868,0.54
ALang_017SL,3332,8039,30022,340,2.36,18943,0.93,335,4188,6548,1230.85,2252064,0.51
VinFutureTank,2429,5419,41397,199,1.45,7861,0.66,241,6825,1549,1227.91,1005062,0.51
ALang_017SL,3376,8193,30193,345,2.35,19245,0.93,339,4263,6557,1219.24,2287349,0.5
1866666666,11916,13544,131983,722,4.07,55143,1.27,1697,18940,8087,1194.93,6271167,0.74
WuWeiBaBa,6970,9140,167539,1032,4.69,42886,0.69,921,20730,35360,1182.52,4929716,0.6
VWH1,3859,8571,141811,646,1.7,14600,0.38,680,26190,4858,1178.79,1952859,0.41
Mr_Hamimelon,8504,14125,55858,1011,3.82,53968,0.89,1461,9844,15551,1162.16,6271878,0.6
cheniho8,8068,20981,97538,963,2.01,42127,0.73,1469,15323,4477,1137.36,5208464,0.59
BBGGTT13,585,2506,36606,129,1.33,3341,0.43,140,5036,3271,1123.74,396290,0.52
Nemecta90,9216,21806,156639,1190,2.27,49582,0.69,2246,22100,20083,1122.8,5839064,0.87
VWH1,3859,8571,141811,635,1.7,14600,0.38,678,26190,4858,1121.44,1952859,0.41
TTRSR8,875,1760,203,67,7.85,13809,3.39,159,480,40,1113.32,1462583,0.59
Jack9mari,1433,3366,13324,152,2.59,8728,0.95,175,2466,2399,1103.38,989792,0.49
Trump-has-nodick,1157,3003,8465,110,1.29,3876,0.58,143,2500,1253,1100.35,511742,0.49
sauravmaddog,7649,18103,52477,490,2.09,37915,1.29,711,13301,4067,1097.48,4423351,0.52
LAMUNATION2020,2851,6770,99831,356,1.91,12962,0.61,388,20954,12956,1089.99,1557190,0.54
pppppppppppppxiA,24573,37634,182719,1301,3.4,127838,1.64,3515,32389,7302,1084.3,15209019,0.67
Chevalier_NianMm,5041,6563,9197,362,3.64,23858,1.1,373,5802,5682,1075.31,2877636,0.55
SigmundFroid,10399,23852,199647,1137,1.85,44084,0.65,1806,36186,18076,1074.07,5422658,0.59
NotPantun4Kerat,1539,2674,11325,104,2.54,6799,1.08,213,2162,825,1068.46,813787,0.69
1Qys_,24384,40357,180589,1356,3.61,145517,1.79,2156,52468,14618,1065.97,17336262,0.63
Sircanterwale,17658,31886,260153,1140,3.03,96543,1.41,2754,35122,16874,1060.12,10841833,0.66
Waulfy,14309,19837,73245,509,5.51,109301,3.58,1970,6620,6269,1059.49,11581087,0.81
Sircanterwale,17687,31925,260525,1141,3.03,96695,1.41,2758,35144,16893,1059.38,10858534,0.66
GongsunBaobao,2460,4577,28073,327,2.21,10108,0.52,502,5219,2384,1042.35,1231741,0.51
